#,SERIALNUMBER,UDF,VALUE,dwelltime,changed,time,STATUS,VALUE,dwelltime,changed,time,zoneGroupTime,zoneGroupDwelltime,zoneTypeTime,zoneTypeDwelltime,facilityMapTime,facilityMapDwelltime
1,TESTSNAPSHOT01,zone,Po1,3,true,1,status,null,0,false,0,1,5,1,3,1,0
2,TESTSNAPSHOT01,zone,Po1,1,false,1,status,s1,1,true,2,1,1,1,1,1,1
3,TESTSNAPSHOT01,zone,Po1,2,false,1,status,s2,2,true,3,1,2,1,2,1,2
4,TESTSNAPSHOT01,zone,Stroom,2,true,4,status,s2,1,false,3,1,3,4,3,1,3
5,TESTSNAPSHOT01,zone,Stroom,1,false,4,status,s3,3,true,5,1,4,4,1,1,4
6,TESTSNAPSHOT01,zone,Enance,1,true,6,status,s3,1,false,5,6,3,4,2,1,5
7,TESTSNAPSHOT01,zone,Saloor,2,true,7,status,s3,2,false,5,6,1,7,0,1,6
8,TESTSNAPSHOT01,zone,Saloor,1,false,7,status,s4,0,true,8,6,2,7,1,1,7
9,TESTSNAPSHOT01,zone,Po1,0,true,9,status,s4,1,false,8,9,0,7,2,1,8
10,TESTSNAPSHOT01,zone,Po1,1,false,9,status,s4,2,false,8,9,1,7,3,1,9
